Age,Gender,Relationship_Status,Academic_Level,Avg_Daily_Usage_Hours,Most_Used_Platform,num_app_switches,notification_count,Sleep_Hours_Per_Night,Affects_Academic_Performance,Conflicts_Over_Social_Media,Mental_Health_Score,Source
19,female,in relationship,undergraduate,5.2,instagram,53,89,6.5,yes,3,40.0,Real_Survey
22,male,single,graduate,2.1,twitter,52,79,7.5,no,0,80.0,Real_Survey
20,female,complicated,undergraduate,6.0,tiktok,39,108,5.0,yes,4,20.0,Real_Survey
18,male,single,high school,3.0,youtube,44,78,7.0,no,1,60.0,Real_Survey
21,male,in relationship,graduate,4.5,facebook,43,35,6.0,yes,2,40.0,Real_Survey
19,female,complicated,undergraduate,7.2,instagram,38,111,4.5,yes,5,0.0,Real_Survey
23,male,single,graduate,1.5,linkedin,40,57,8.0,no,0,100.0,Real_Survey
20,female,in relationship,undergraduate,5.8,snapchat,57,63,6.0,yes,2,40.0,Real_Survey
18,male,single,high school,4.0,tiktok,42,65,6.5,no,1,60.0,Real_Survey
21,female,in relationship,graduate,3.3,instagram,63,114,7.0,no,1,60.0,Real_Survey
19,male,complicated,undergraduate,4.8,snapchat,51,26,6.2,yes,3,20.0,Real_Survey
20,female,in relationship,undergraduate,5.5,tiktok,56,158,5.8,yes,2,40.0,Real_Survey
22,male,single,graduate,2.8,linkedin,46,106,7.2,no,1,80.0,Real_Survey
18,female,single,high school,6.5,instagram,50,85,5.5,yes,4,20.0,Real_Survey
21,male,in relationship,undergraduate,3.7,youtube,40,78,6.8,no,2,60.0,Real_Survey
20,female,complicated,undergraduate,4.2,tiktok,45,87,6.0,yes,3,40.0,Real_Survey
24,male,single,graduate,2.0,linkedin,42,93,7.8,no,0,80.0,Real_Survey
19,female,in relationship,high school,5.0,instagram,51,96,5.7,yes,3,20.0,Real_Survey
21,male,single,undergraduate,3.5,facebook,46,93,6.7,no,1,60.0,Real_Survey
20,female,complicated,undergraduate,4.7,snapchat,46,82,5.9,yes,3,40.0,Real_Survey
18,male,single,high school,5.3,tiktok,45,75,5.5,yes,4,20.0,Real_Survey
23,female,in relationship,graduate,2.5,linkedin,56,76,7.3,no,1,80.0,Real_Survey
19,male,complicated,undergraduate,4.9,instagram,49,75,5.8,yes,3,40.0,Real_Survey
20,female,single,undergraduate,5.7,tiktok,47,108,5.4,yes,4,20.0,Real_Survey
22,male,in relationship,graduate,3.2,facebook,40,94,6.9,no,2,60.0,Real_Survey
